"Company","Sector","Resolution Summary","Issues","Filer","Status","Year","Memo"
"ConocoPhillips","Oil and Gas","Report on Executive Compensation Link to 2 Degrees Transition","Climate Change; 
                    
                    
                        Governance; 
                    
                    
                        Carbon Asset Risk","Unitarian Universalist Association of Congregations","Vote: 6.7%",2017,"NOT"
"Chevron Corporation","Oil and Gas","Independent director with environmental expertise","Governance","New York State Comptroller","Vote: 19.6%",2017,"NOT"
"Assurant Inc.","Insurance","Annual sustainability report including climate risks","Climate Change; 
                    
                    
                        Sustainability Reporting","New York State Comptroller","Withdrawn; Company will address",2017,"NOT"
"Pioneer Natural Resources Co.","Oil and Gas","Annual sustainability report","Sustainability Reporting","New York State Comptroller","Vote: 52.1%",2017,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Report on impacts of hydraulic fracking, methane","Climate Change; 
                    
                    
                        Carbon Asset Risk","As You Sow","Vote: 38.7%",2017,"PDF"
"Southern Company","Electric Power","Report strategy for aligning business with 2 degrees scenario","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","Sisters of St. Dominic (Caldwell, NJ)","Vote: 45.7%",2017,"PDF"
"Devon Energy Corporation","Oil and Gas","Publish an assessment of portfolio risks under a 2 degree scenario","Climate Change; 
                    
                    
                        Carbon Asset Risk","The George Gund Foundation","Vote: 41.4%",2017,"NOT"
"Kinder Morgan Inc.","Energy","Annual sustainability report","Climate Change; 
                    
                    
                        Human Rights; 
                    
                    
                        Sustainability Reporting","New York State Comptroller","Vote: 38.5%",2017,"NOT"
"Tesoro Corporation","Oil and Gas","Annual report on lobbying and political activities","Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","United Steelworkers of America","Withdrawn; Company will address",2017,"NOT"
"Dominion Resources, Inc.","Oil and Gas","Report on policies, practices, and plans related to methane emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Methane Emissions","Arjuna Capital","Vote: 23.7%",2017,"PDF"
"FirstEnergy Corp.","Utilities","Annual report on lobbying activities","Governance; 
                    
                    
                        Political Spending; 
                    
                    
                        Public Policy","The Nathan Cummings Foundation","Vote: 41.5%",2017,"NOT"
"Occidental Petroleum Corporation","Oil and Gas","Report on policies, practices, and plans related to methane emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Methane Emissions","Arjuna Capital","Vote: 45.8%",2017,"NOT"
"Southern Company","Utilities","Report on methane emissions management policies and practices","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Methane Emissions","As You Sow","Withdrawn; Company will address",2017,"NOT"
"Target Corp.","Retail","Report on company practices on food waste","Food Waste","Trillium Asset Management","Withdrawn; Company will address",2017,"NOT"
"Devon Energy Corporation","Oil and Gas","Report on use of reserves additions as executive comp metric","Climate Change; 
                    
                    
                        Governance","As You Sow","Vote: 6.9%",2017,"NOT"
"Chevron Corporation","Oil and Gas","Report on transition to low carbon economy","Carbon Asset Risk","As You Sow","Vote: 26%",2017,"NOT"
"Tractor Supply Company","Retail","Adopt science-based goals for reducing GHGs","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Trillium Asset Management","Withdrawn; Company will address",2017,"NOT"
"Marathon Petroleum Corporation","Oil and Gas","Report on environmental & social due diligence for acquisitions","Governance; 
                    
                    
                        Human Rights","New York State Comptroller","Vote: 35.2%",2017,"NOT"
"Dominion Resources, Inc.","Electric Power","Add board member with environmental expertise 2017","","Joy Loving","Vote: 18.2%",2017,"PDF"
"Southern Company","Electric Power","Dsiclose stranded asset risks due to climate change","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Carbon Asset Risk","As You Sow","Filed",2017,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Add a board member with environmental expertise","Climate Change; 
                    
                    
                        Governance","Province of St. Joseph, Capuchin Order","Withdrawn; Company will address",2017,"NOT"
"PayPal","Financial Services","Report on feasibility of net-zero GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Amalgamated Bank","Vote: 23.9%",2017,"NOT"
"Amazon.com Inc.","Retail","Report on feasibility of net-zero GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Amalgamated Bank","Withdrawn; Company will address",2017,"NOT"
"Netflix, Inc.","Entertainment","Report on feasibility of net zero GHG emissions","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Amalgamated Bank","Vote: 15.8%",2017,"NOT"
